"id";"detection_timestamp";"vehicle_number";"car_id";"frame_number";"confidence_score";"vehicle_color";"vehicle_model";"detection_location";"image_path";"video_source";"additional_info";"matched_stolen_id";"match_severity"
69;"2026-03-07 14:27:49";"KA20ZT0001";0;60;0.83;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
70;"2026-03-07 14:28:30";"KA00KA0033";0;100;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
71;"2026-03-07 14:29:57";"KA11LA0033";0;240;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
72;"2026-03-07 14:44:24";"KA10AA0033";1;260;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
73;"2026-03-07 14:52:44";"KA10KA0033";0;280;0.6;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
74;"2026-03-07 14:53:52";"KA11LA0033";0;320;0.66;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
75;"2026-03-07 14:54:15";"KA01OI5710";1;340;0.68;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
76;"2026-03-07 14:55:23";"KA27ZA0033";0;400;0.61;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
77;"2026-03-07 14:56:12";"KA01QS4524";2;420;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
78;"2026-03-07 14:56:27";"KA03KA0000";0;420;0.75;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
79;"2026-03-07 14:57:48";"KA41AA0033";0;520;0.65;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
80;"2026-03-07 14:58:48";"KA03KA0000";4;540;0.94;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
81;"2026-03-07 15:00:01";"KA00AO0000";3;560;0.72;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
82;"2026-03-07 15:00:15";"KA05TH7103";2;580;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
83;"2026-03-07 15:00:28";"KA01OH5710";4;600;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
84;"2026-03-07 15:01:07";"KA00OK0000";0;640;0.79;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
85;"2026-03-07 15:04:30";"KA51KA0000";0;860;0.84;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
86;"2026-03-07 15:05:07";"SK00HO0185";0;860;0.94;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
87;"2026-03-07 15:06:21";"AP07OT2111";3;1080;0.64;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
88;"2026-03-07 15:06:37";"AP17DA0247";3;1100;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
89;"2026-03-07 15:07:04";"AP24ZE0284";1;1160;0.64;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
90;"2026-03-07 15:07:12";"AP07OT0217";0;1160;0.73;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
91;"2026-03-07 15:07:45";"OD06HU0000";1;1200;0.79;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
92;"2026-03-07 15:08:13";"AP07OT0247";0;1220;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
93;"2026-03-07 15:08:53";"SK06UG0000";1;1260;0.64;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
94;"2026-03-07 15:09:26";"KA50DW0712";0;1300;0.65;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
95;"2026-03-07 15:09:44";"KA05CK0000";0;1320;0.81;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
96;"2026-03-07 15:09:51";"AP14EA7247";1;1320;0.61;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
97;"2026-03-07 15:11:10";"KA66GG0671";0;1380;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
98;"2026-03-07 15:11:22";"KA52AS0000";1;1380;0.76;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
99;"2026-03-07 15:11:47";"AP28CC4237";1;1400;0.73;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
100;"2026-03-07 15:12:04";"AP28CC6284";1;1420;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
101;"2026-03-07 15:15:19";"AP17DA0247";6;1420;0.72;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
102;"2026-03-07 15:15:53";"AP28CC4284";0;1460;0.75;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
103;"2026-03-07 15:16:21";"AP28CC0000";1;1500;0.79;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
104;"2026-03-07 15:23:49";"PB08CC0000";0;1700;0.81;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
105;"2026-03-07 15:24:05";"AP24EC0284";1;1720;0.65;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
106;"2026-03-07 15:24:19";"KA84KA0000";1;1740;0.74;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
107;"2026-03-07 22:48:10";"KA10LT0331";0;20;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
108;"2026-03-07 22:48:54";"KA20ZT0001";0;60;0.83;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
109;"2026-03-07 22:49:30";"KA00KA0033";0;100;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
110;"2026-03-07 22:50:56";"KA11LA0033";0;240;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
111;"2026-03-07 22:51:52";"KA10AA0033";1;260;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
112;"2026-03-07 22:52:05";"KA10KA0033";0;280;0.6;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
113;"2026-03-07 22:52:34";"KA11LA0033";0;320;0.66;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
114;"2026-03-07 22:52:53";"KA01OI5710";1;340;0.68;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
115;"2026-03-07 22:54:00";"KA27ZA0033";0;400;0.61;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
116;"2026-03-07 22:54:39";"KA01QS4524";2;420;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
117;"2026-03-07 22:54:57";"KA03KA0000";0;420;0.75;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
118;"2026-03-07 22:59:17";"KA10LT0331";0;20;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
119;"2026-03-07 23:00:06";"KA20ZT0001";0;60;0.83;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
120;"2026-03-07 23:00:49";"KA00KA0033";0;100;0.77;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
121;"2026-03-07 23:04:35";"KA20ZT0001";0;60;0.83;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
122;"2026-03-07 23:05:17";"KA11LA0033";0;240;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
123;"2026-03-07 23:06:14";"KA01QS4524";2;420;0.69;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
124;"2026-03-07 23:06:29";"KA03KA0000";0;420;0.75;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
125;"2026-03-07 23:07:23";"KA03KA0000";4;540;0.94;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
126;"2026-03-07 23:07:37";"KA01OH5710";4;600;0.7;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
127;"2026-03-09 15:43:08";"KA11LA0033";0;240;0.62;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
128;"2026-03-09 15:43:24";"KA11LA0033";0;320;0.66;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
129;"2026-03-09 15:43:44";"KA27ZA0033";0;400;0.61;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
130;"2026-03-09 15:45:07";"KA00AO0000";0;560;0.72;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
131;"2026-03-09 15:45:44";"KA00OK0000";0;640;0.79;"";"";"";"";"C:/Users/steph/Downloads/12356945_3840_2160_60fps.mp4";"";0;""
